id;curso;Area_the;setor;turno;grau;forma_evasao;ira;contagem_disciplinas;contagem_reprovacoes;evasao;proprep;
3567;Pedagogia;ED;Setor de Educação;N;Licenciatura;Abandono;0,3405;35;9;1;0,257142857;0,332052352
43740;Direito;LW;Setor de Ciências Jurídicas;N;Bacharelado;Formatura;0,6587;134;13;0;0,097014925;0,332056087
17480;Filosofia;AH;Setor de Ciências Humanas;M;Bacharelado;Abandono;0,6892;34;3;1;0,088235294;0,33210533
15762;Arquitetura e Urbanismo;AH;Setor de Tecnologia;I;Bacharelado;Formatura;0,7248;74;2;0;0,027027027;0,332127301
22073;Ciências Econômicas;BE;Setor de Ciências Sociais Aplicadas;N;Bacharelado;Abandono;0,3678;33;10;1;0,303030303;0,332127864
54129;Farmácia;CL;Setor de Ciências da Saúde;I;Bacharelado;Formatura;0,7665;125;5;0;0,04;0,332130079
26195;Agronomia;LS;Setor de Ciências Agrárias;I;Bacharelado;Formatura;0,6298;137;12;0;0,087591241;0,332138077
23186;Ciências Biológicas;LS;Setor Palotina;I;Bacharelado;Formatura;0,5952;103;13;0;0,126213592;0,33214146
39514;Terapia Ocupacional;PS;Setor de Ciências da Saúde;I;Bacharelado;Formatura;0,8379;126;0;0;0;0,332148248
5611;Design Gráfico;AH;Setor de Artes, Comunicação e Design;I;Bacharelado;Formatura;0,759;113;6;0;0,053097345;0,332157569
18310;Engenharia de Produção;ET;Jandaia;T;Bacharelado;Abandono;0,098;5;5;1;1;0,332165164
13550;Engenharia Florestal;LS;Setor de Ciências Agrárias;I;Bacharelado;Abandono;0,2458;26;17;1;0,653846154;0,3321692
25190;Engenharia Civil;ET;Setor de Tecnologia;I;Bacharelado;Formatura;0,5783;124;19;0;0,153225806;0,332188516
15011;Oceanografia;PH;Centro de Estudos do Mar;I;Bacharelado;Abandono;0,6358;105;16;1;0,152380952;0,332202688
6919;Engenharia Ambiental;LS;Setor de Tecnologia;I;Bacharelado;Formatura;0,8493;70;0;0;0;0,332205048
25590;Engenharia Civil;ET;Setor de Tecnologia;I;Bacharelado;Formatura;0,6014;116;24;0;0,206896552;0,332222532
48142;Análise e Desenvolvimento de Sistemas;CS;Setor de Educação Profissional e Tecnológica;T;Tecnológico;Abandono;0,7984;53;2;1;0,037735849;0,33222988
